age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,final_grade
16,other,private,no formal,2.8,99.6,yes,<15 min,no,mixed,d
19,male,public,no formal,4.5,60.1,yes,15-30 min,yes,notes,d
15,other,private,phd,0.5,90.5,yes,15-30 min,no,notes,e
17,female,public,high school,7.7,70.7,yes,15-30 min,yes,textbook,a
18,other,public,high school,7.0,82.6,yes,30-60 min,yes,coaching,a
14,female,private,diploma,5.4,96.1,yes,>60 min,no,textbook,c
19,female,public,no formal,3.8,79.6,yes,30-60 min,no,mixed,e
16,male,public,no formal,1.7,80.8,yes,<15 min,no,coaching,e
16,other,private,no formal,4.7,51.8,yes,15-30 min,no,coaching,d
17,male,private,graduate,2.3,56.4,yes,<15 min,no,group study,f
17,male,public,diploma,5.3,77.0,no,15-30 min,no,textbook,d
14,female,private,high school,1.6,68.5,yes,<15 min,yes,group study,f
19,other,public,phd,5.9,80.5,yes,15-30 min,no,mixed,c
17,other,public,high school,2.9,69.2,yes,15-30 min,yes,coaching,e
19,other,private,no formal,4.3,58.7,yes,<15 min,no,notes,d
16,female,public,no formal,1.7,89.8,yes,30-60 min,yes,group study,e
17,other,public,post graduate,2.4,92.3,yes,30-60 min,yes,mixed,e
16,female,private,graduate,3.9,98.4,yes,15-30 min,yes,mixed,c
19,female,public,high school,3.9,60.0,yes,>60 min,yes,coaching,e
18,male,private,high school,8.0,65.6,yes,15-30 min,yes,coaching,a
19,other,private,high school,3.0,64.0,yes,30-60 min,no,online videos,e
17,male,public,diploma,1.1,96.5,yes,30-60 min,no,mixed,e
18,male,private,post graduate,4.4,79.9,yes,15-30 min,no,mixed,d
16,female,private,graduate,2.9,96.1,yes,>60 min,no,coaching,d
16,female,private,post graduate,7.1,94.5,yes,15-30 min,no,coaching,a
18,male,public,no formal,2.1,62.3,yes,>60 min,no,notes,e
14,female,public,graduate,6.9,71.4,yes,30-60 min,yes,coaching,c
18,male,public,post graduate,5.5,70.7,no,>60 min,no,mixed,d
14,female,private,high school,1.9,74.3,yes,<15 min,yes,group study,e
17,other,private,graduate,3.5,99.9,yes,30-60 min,yes,mixed,d
16,other,private,no formal,4.2,58.7,yes,15-30 min,yes,textbook,e
16,male,private,phd,4.4,88.6,yes,15-30 min,yes,mixed,d
16,female,public,post graduate,3.5,61.4,yes,<15 min,no,online videos,d
16,female,private,graduate,4.9,87.0,no,>60 min,yes,mixed,c
16,male,private,graduate,5.9,60.1,yes,30-60 min,yes,textbook,d
16,male,private,post graduate,4.3,76.4,yes,15-30 min,no,online videos,c
17,male,private,diploma,5.0,83.4,yes,>60 min,no,coaching,c
18,other,private,phd,6.9,71.6,no,15-30 min,yes,online videos,c
17,female,private,high school,4.2,98.3,yes,<15 min,no,textbook,c
17,male,public,post graduate,3.6,85.3,no,30-60 min,yes,online videos,d
19,other,public,post graduate,2.4,57.9,yes,15-30 min,no,mixed,e
19,male,public,phd,1.5,68.6,yes,15-30 min,yes,textbook,e
14,other,private,no formal,2.7,65.7,no,15-30 min,yes,notes,e
18,female,public,diploma,3.5,64.8,yes,30-60 min,no,coaching,e
15,male,public,graduate,6.2,60.6,yes,15-30 min,no,textbook,c
15,female,public,graduate,2.1,59.3,no,>60 min,no,textbook,e
18,other,public,post graduate,5.8,93.5,no,15-30 min,yes,textbook,b
14,female,private,graduate,1.1,99.5,yes,<15 min,yes,coaching,e
19,other,public,high school,1.7,58.0,yes,>60 min,yes,coaching,e
18,other,public,post graduate,2.9,89.6,yes,30-60 min,yes,coaching,d
19,male,public,diploma,4.0,61.4,yes,30-60 min,no,online videos,d
18,other,public,phd,1.9,76.1,yes,<15 min,yes,group study,e
19,female,public,graduate,1.3,59.9,yes,30-60 min,no,group study,f
14,other,public,graduate,4.7,63.6,yes,>60 min,yes,group study,d
19,female,private,graduate,3.6,70.5,yes,<15 min,no,group study,e
14,female,public,phd,3.6,85.3,yes,30-60 min,no,coaching,d
15,female,private,phd,2.8,73.7,yes,<15 min,no,online videos,e
14,other,public,graduate,3.3,90.5,yes,<15 min,no,mixed,d
16,male,public,graduate,1.9,54.8,yes,>60 min,no,online videos,f
18,other,public,no formal,2.5,78.6,yes,30-60 min,yes,coaching,e
15,male,private,no formal,4.6,55.3,yes,>60 min,no,coaching,d
18,other,public,post graduate,4.4,55.9,yes,15-30 min,yes,mixed,e
17,male,private,diploma,7.3,65.4,yes,<15 min,no,online videos,b
17,male,private,diploma,6.7,55.2,yes,<15 min,no,notes,c
19,male,public,graduate,0.6,88.8,yes,>60 min,no,group study,e
16,female,public,high school,2.2,75.4,no,>60 min,no,notes,e
16,male,private,high school,7.2,82.2,yes,>60 min,yes,notes,b
19,female,public,no formal,2.9,52.8,yes,30-60 min,no,coaching,e
17,other,private,post graduate,4.1,61.2,yes,30-60 min,yes,coaching,d
17,male,public,graduate,5.6,76.2,no,<15 min,yes,online videos,c
15,female,private,high school,4.6,54.1,yes,15-30 min,no,notes,d
15,other,private,graduate,0.5,58.0,yes,15-30 min,no,mixed,f
15,female,private,no formal,2.0,51.1,yes,<15 min,yes,group study,f
15,other,private,post graduate,1.3,95.6,no,<15 min,yes,textbook,d
15,female,private,high school,1.8,71.6,yes,>60 min,no,group study,e
18,male,private,high school,1.6,52.3,yes,15-30 min,no,coaching,f
14,female,private,phd,5.2,73.0,yes,15-30 min,no,notes,d
17,female,public,post graduate,3.5,94.4,yes,30-60 min,no,group study,c
19,male,public,post graduate,1.0,59.5,no,<15 min,yes,mixed,f
18,other,private,graduate,1.1,61.9,yes,<15 min,yes,notes,f
16,male,public,graduate,7.6,99.1,yes,30-60 min,no,notes,b
14,male,public,high school,1.7,92.7,yes,>60 min,no,textbook,e
19,male,private,high school,2.4,77.4,yes,>60 min,no,group study,e
14,other,public,phd,4.8,59.3,no,<15 min,no,online videos,d
18,female,public,phd,1.9,61.0,yes,>60 min,no,group study,f
18,other,private,post graduate,2.0,93.1,yes,15-30 min,yes,notes,e
15,female,public,phd,1.0,83.8,no,>60 min,no,mixed,e
18,male,private,post graduate,7.9,67.5,yes,15-30 min,no,textbook,c
15,female,public,diploma,5.0,51.3,yes,15-30 min,no,mixed,d
15,male,public,post graduate,4.5,56.8,no,15-30 min,yes,mixed,d
18,female,private,post graduate,7.2,86.5,yes,>60 min,no,textbook,b
19,male,public,no formal,5.0,82.4,yes,15-30 min,yes,notes,c
15,other,private,phd,2.5,67.9,no,>60 min,no,coaching,d
19,female,private,diploma,4.0,79.6,yes,>60 min,yes,coaching,d
19,male,public,high school,4.1,87.8,no,>60 min,no,mixed,c
18,other,private,diploma,3.5,82.2,yes,<15 min,yes,coaching,c
14,female,public,high school,6.2,62.0,yes,30-60 min,yes,group study,c
15,male,private,high school,1.3,97.6,yes,15-30 min,yes,notes,e
18,female,public,graduate,1.7,51.2,yes,30-60 min,yes,textbook,f
19,male,private,phd,3.3,77.8,yes,<15 min,yes,coaching,e
18,other,public,diploma,1.0,61.2,yes,>60 min,no,notes,f
16,female,private,high school,7.9,85.4,yes,15-30 min,yes,coaching,a
15,other,private,post graduate,4.2,78.1,yes,30-60 min,yes,group study,d
19,other,public,high school,0.9,59.8,yes,15-30 min,yes,notes,f
15,other,public,graduate,5.1,75.3,yes,<15 min,yes,textbook,c
16,female,public,high school,6.4,76.0,yes,<15 min,yes,mixed,c
19,male,private,high school,3.6,71.0,no,15-30 min,yes,online videos,d
17,female,private,high school,4.1,52.1,yes,>60 min,yes,textbook,e
15,female,public,diploma,5.8,60.3,yes,>60 min,no,notes,c
14,male,public,phd,2.3,98.4,yes,15-30 min,no,textbook,e
16,other,public,post graduate,5.0,59.4,yes,<15 min,yes,notes,d
19,other,public,post graduate,5.2,72.9,yes,<15 min,yes,mixed,d
16,female,private,no formal,6.5,64.7,yes,15-30 min,yes,mixed,c
18,other,private,no formal,7.2,87.8,yes,30-60 min,yes,group study,b
15,other,public,diploma,7.6,78.9,yes,>60 min,no,coaching,b
18,male,public,phd,1.4,85.8,yes,15-30 min,no,textbook,e
18,female,public,no formal,6.6,81.8,yes,30-60 min,yes,coaching,b
17,other,public,post graduate,5.6,75.2,yes,15-30 min,no,group study,c
18,female,public,post graduate,3.3,98.0,yes,15-30 min,yes,coaching,d
17,other,private,high school,7.4,85.2,yes,>60 min,yes,mixed,b
16,female,private,no formal,7.0,84.4,yes,30-60 min,no,group study,a
18,male,private,no formal,6.3,84.5,yes,30-60 min,no,textbook,b
19,female,public,no formal,0.9,73.3,yes,30-60 min,yes,coaching,f
19,female,public,phd,1.8,82.1,no,>60 min,no,coaching,e
15,other,private,post graduate,7.4,80.2,yes,30-60 min,no,textbook,b
18,male,public,post graduate,7.9,94.4,yes,>60 min,yes,textbook,a
14,male,private,no formal,2.6,98.9,no,<15 min,no,notes,d
17,male,private,phd,2.6,74.2,yes,30-60 min,yes,textbook,e
17,female,private,post graduate,5.1,80.0,yes,>60 min,yes,notes,d
16,other,public,post graduate,1.1,64.5,yes,<15 min,yes,group study,f
19,female,private,diploma,5.0,92.3,yes,<15 min,no,group study,c
19,other,public,high school,7.8,85.5,yes,<15 min,no,textbook,a
14,other,private,post graduate,2.7,96.2,no,30-60 min,yes,coaching,d
15,female,public,no formal,6.1,80.3,no,<15 min,no,online videos,b
15,female,private,high school,4.4,85.4,yes,30-60 min,yes,textbook,c
19,male,public,no formal,2.7,54.8,yes,30-60 min,yes,online videos,e
17,other,public,no formal,3.6,80.3,yes,<15 min,no,textbook,d
18,other,public,graduate,4.6,68.8,yes,15-30 min,no,notes,d
18,other,private,high school,6.2,75.4,yes,<15 min,no,mixed,c
18,other,public,phd,4.6,66.3,yes,15-30 min,no,online videos,c
14,female,private,phd,7.4,64.4,yes,15-30 min,no,online videos,c
14,male,public,high school,1.4,91.0,no,>60 min,no,textbook,e
16,other,public,post graduate,7.7,77.9,no,<15 min,no,online videos,a
16,female,private,no formal,4.6,62.7,yes,30-60 min,yes,online videos,d
18,other,private,high school,3.4,88.3,yes,>60 min,no,online videos,d
14,other,private,graduate,1.1,53.7,yes,15-30 min,yes,mixed,f
16,male,public,high school,2.7,64.7,yes,>60 min,no,group study,e
15,female,private,no formal,3.8,66.8,yes,>60 min,yes,online videos,d
15,female,private,no formal,7.5,58.9,yes,>60 min,yes,group study,c
15,female,public,graduate,6.2,92.1,yes,15-30 min,yes,coaching,c
15,male,public,high school,0.9,83.7,yes,>60 min,yes,notes,e
17,male,public,high school,3.0,83.5,yes,>60 min,yes,textbook,d
16,female,public,high school,4.2,79.6,no,<15 min,no,group study,c
16,male,private,phd,6.9,68.9,no,>60 min,no,online videos,b
16,male,public,phd,6.3,83.0,yes,>60 min,no,notes,c
18,male,public,post graduate,2.1,86.8,yes,<15 min,yes,online videos,e
19,other,public,no formal,0.9,76.9,yes,15-30 min,no,notes,f
17,male,public,high school,1.5,73.5,yes,>60 min,no,mixed,e
17,female,public,phd,4.3,61.2,yes,<15 min,no,textbook,d
18,male,private,graduate,1.2,54.2,yes,>60 min,no,mixed,f
18,female,public,no formal,2.4,52.1,no,30-60 min,no,group study,f
14,male,private,high school,6.7,85.7,no,15-30 min,yes,online videos,b
19,male,private,post graduate,3.5,67.4,no,<15 min,yes,group study,e
14,female,public,phd,8.0,85.4,no,30-60 min,no,online videos,a
16,other,public,diploma,6.2,75.4,yes,>60 min,yes,textbook,c
17,male,public,no formal,2.5,72.3,yes,15-30 min,no,notes,d
16,female,private,no formal,0.6,81.4,yes,>60 min,no,notes,f
15,other,private,high school,4.5,59.2,yes,15-30 min,no,notes,d
19,female,private,post graduate,5.8,99.0,no,>60 min,no,textbook,b
14,other,public,post graduate,4.0,66.5,yes,>60 min,yes,textbook,e
15,male,public,high school,7.3,88.5,yes,<15 min,yes,online videos,a
19,other,public,phd,6.3,62.4,yes,15-30 min,yes,notes,d
18,male,public,phd,4.4,73.4,yes,<15 min,yes,group study,d
14,female,private,phd,0.6,75.0,yes,>60 min,yes,notes,f
18,female,public,post graduate,3.0,65.3,yes,15-30 min,no,notes,e
19,male,private,graduate,4.2,67.4,yes,>60 min,yes,group study,d
14,other,public,phd,2.4,71.8,yes,>60 min,yes,group study,d
16,other,public,post graduate,6.8,91.8,yes,<15 min,yes,notes,a
16,male,public,post graduate,3.7,75.0,yes,30-60 min,yes,coaching,d
14,male,public,diploma,2.0,54.4,yes,15-30 min,no,mixed,e
15,other,private,high school,6.3,60.8,yes,30-60 min,no,online videos,c
15,female,public,graduate,5.1,99.3,yes,30-60 min,yes,group study,c
15,male,private,diploma,2.0,54.5,yes,<15 min,no,textbook,f
16,other,public,diploma,4.5,82.4,yes,30-60 min,no,online videos,c
16,other,public,post graduate,5.7,60.6,yes,15-30 min,yes,mixed,d
15,female,private,graduate,3.9,71.6,yes,15-30 min,yes,coaching,e
15,male,private,high school,2.8,67.9,no,15-30 min,no,mixed,e
15,male,private,high school,5.7,98.9,no,>60 min,no,group study,b
18,female,public,graduate,5.7,77.6,yes,>60 min,yes,coaching,c
15,male,private,high school,0.6,62.5,yes,15-30 min,yes,online videos,f
19,female,private,high school,2.3,80.2,yes,>60 min,yes,notes,e
17,male,private,high school,5.3,53.6,yes,>60 min,no,textbook,d
18,male,private,graduate,2.2,96.3,yes,<15 min,yes,coaching,d
17,male,private,diploma,7.7,67.2,yes,30-60 min,yes,coaching,b
15,female,public,diploma,1.7,94.2,yes,15-30 min,no,group study,d
17,female,private,no formal,6.1,90.5,yes,15-30 min,no,coaching,c
15,female,private,no formal,8.0,59.3,yes,>60 min,yes,textbook,b
14,other,public,post graduate,3.1,98.1,yes,>60 min,no,mixed,d
15,female,private,phd,5.0,99.6,yes,>60 min,yes,online videos,c
15,male,private,high school,1.3,90.3,yes,<15 min,no,coaching,d
14,other,public,phd,5.2,72.6,yes,15-30 min,no,mixed,d
14,other,private,graduate,7.9,83.6,yes,>60 min,yes,coaching,a
19,female,public,high school,7.8,54.0,yes,>60 min,no,online videos,c
17,male,private,graduate,3.6,96.1,yes,>60 min,no,mixed,c
16,other,private,no formal,6.7,61.1,yes,15-30 min,yes,coaching,d
19,other,public,diploma,6.7,85.8,yes,>60 min,yes,notes,b
15,female,public,post graduate,3.0,90.1,yes,<15 min,no,group study,d
16,male,private,phd,6.7,98.5,no,15-30 min,yes,textbook,c
19,male,public,high school,1.7,91.2,yes,>60 min,no,notes,e
17,male,private,phd,7.8,90.9,yes,30-60 min,yes,group study,a
16,male,private,graduate,7.0,85.3,yes,>60 min,yes,coaching,b
15,male,public,high school,4.3,78.8,yes,<15 min,no,online videos,d
14,female,public,post graduate,3.4,52.1,yes,15-30 min,yes,coaching,e
14,male,public,phd,7.6,98.6,no,15-30 min,no,online videos,a
14,male,public,high school,1.0,72.4,yes,30-60 min,yes,group study,f
18,other,private,no formal,4.2,89.8,yes,15-30 min,no,mixed,c
17,other,private,high school,4.2,68.9,yes,15-30 min,no,group study,d
16,male,public,post graduate,3.4,72.8,yes,30-60 min,no,group study,d
18,other,public,no formal,1.3,73.1,yes,15-30 min,yes,mixed,e
14,other,private,high school,2.4,99.5,yes,30-60 min,yes,online videos,e
15,female,private,high school,7.9,60.6,yes,>60 min,no,online videos,a
16,female,public,no formal,6.6,75.1,yes,30-60 min,yes,online videos,b
19,female,private,graduate,6.8,57.7,no,>60 min,no,textbook,c
17,male,public,post graduate,4.3,74.7,yes,15-30 min,no,coaching,c
19,female,public,no formal,5.5,77.3,yes,<15 min,yes,notes,d
15,other,public,phd,4.3,56.8,yes,30-60 min,yes,online videos,d
19,female,private,phd,5.6,84.9,yes,30-60 min,yes,notes,c
14,female,private,phd,7.0,91.4,yes,<15 min,no,textbook,b
15,male,private,post graduate,2.3,90.8,yes,<15 min,yes,coaching,e
17,other,public,diploma,7.6,86.5,yes,<15 min,no,online videos,a
14,male,public,high school,7.4,57.0,yes,30-60 min,no,group study,c
19,other,private,phd,3.6,81.1,yes,15-30 min,no,group study,e
19,male,private,graduate,7.8,84.9,yes,>60 min,no,coaching,a
17,male,public,diploma,7.1,88.0,yes,>60 min,yes,mixed,b
15,male,private,diploma,0.8,85.5,yes,<15 min,yes,notes,e
14,female,public,high school,0.8,81.4,yes,15-30 min,no,online videos,e
17,other,private,diploma,5.8,86.4,yes,15-30 min,no,notes,b
17,female,private,post graduate,6.4,92.6,yes,<15 min,no,mixed,b
18,male,public,graduate,2.4,78.5,yes,>60 min,yes,online videos,e
17,male,public,diploma,4.2,57.3,yes,30-60 min,yes,coaching,e
14,male,public,no formal,4.5,90.8,yes,15-30 min,yes,online videos,c
14,female,private,diploma,3.8,83.1,yes,<15 min,yes,online videos,d
18,other,private,high school,1.0,84.3,yes,<15 min,no,mixed,e
14,other,public,diploma,2.1,64.7,no,30-60 min,no,notes,e
19,other,private,no formal,6.6,57.5,yes,15-30 min,no,notes,d
14,male,public,phd,1.0,89.0,yes,<15 min,no,mixed,f
18,female,private,high school,5.2,52.5,yes,15-30 min,yes,textbook,d
19,male,private,no formal,5.3,70.1,yes,15-30 min,yes,mixed,c
16,female,public,graduate,7.7,75.4,yes,>60 min,no,coaching,c
14,female,public,diploma,7.9,50.9,yes,30-60 min,no,textbook,b
19,other,private,phd,7.6,79.9,no,15-30 min,yes,online videos,c
15,female,private,diploma,4.6,56.0,yes,<15 min,no,online videos,d
17,male,public,graduate,0.8,62.1,yes,<15 min,yes,coaching,f
19,female,public,phd,2.6,99.7,yes,30-60 min,no,notes,d
18,female,public,phd,4.1,78.0,yes,>60 min,yes,coaching,d
14,female,public,post graduate,0.8,98.4,yes,<15 min,yes,textbook,e
18,male,private,graduate,0.8,74.6,yes,15-30 min,yes,group study,f
14,female,private,post graduate,2.9,90.2,yes,<15 min,yes,online videos,d
18,female,public,high school,3.4,51.9,yes,<15 min,no,coaching,e
17,other,private,phd,4.9,64.6,yes,30-60 min,no,notes,d
15,other,private,phd,7.5,64.2,yes,>60 min,yes,mixed,c
16,male,public,diploma,3.4,53.5,yes,>60 min,yes,online videos,e
14,other,public,no formal,0.9,97.6,yes,>60 min,yes,group study,e
19,male,private,post graduate,4.6,75.2,yes,30-60 min,no,group study,d
15,other,private,no formal,3.2,79.6,yes,>60 min,no,group study,d
15,female,private,no formal,7.3,76.0,yes,15-30 min,yes,online videos,b
17,other,private,phd,3.7,62.4,yes,30-60 min,yes,mixed,e
18,other,public,graduate,2.9,96.2,yes,15-30 min,yes,mixed,c
17,female,public,graduate,5.9,83.4,yes,15-30 min,yes,notes,b
17,female,public,phd,4.2,56.2,yes,15-30 min,yes,group study,e
17,other,private,phd,4.7,73.1,yes,>60 min,no,notes,d
19,female,private,phd,1.6,50.1,yes,30-60 min,no,coaching,f
16,female,private,no formal,3.3,83.7,yes,<15 min,yes,online videos,d
18,female,private,high school,0.8,76.2,no,30-60 min,no,textbook,e
18,female,public,post graduate,6.2,95.2,yes,30-60 min,no,coaching,c
19,male,private,no formal,2.3,97.4,yes,>60 min,no,mixed,e
19,male,private,high school,1.4,54.9,yes,>60 min,no,mixed,f
18,other,private,graduate,4.9,54.5,yes,30-60 min,yes,mixed,d
15,female,private,diploma,4.8,95.0,yes,>60 min,no,textbook,c
18,female,public,high school,2.9,75.6,yes,>60 min,yes,group study,e
18,male,public,phd,7.7,73.5,yes,30-60 min,yes,coaching,a
15,other,private,diploma,5.3,78.5,yes,<15 min,no,mixed,c
18,female,private,diploma,7.4,73.3,yes,>60 min,no,group study,b
15,male,private,graduate,2.8,80.7,yes,15-30 min,yes,online videos,d
17,male,public,post graduate,4.6,97.5,yes,<15 min,no,coaching,c
18,female,private,diploma,3.6,80.3,yes,15-30 min,yes,coaching,d
15,female,public,phd,3.6,66.0,yes,<15 min,yes,group study,e
16,male,private,high school,0.9,60.7,yes,15-30 min,yes,notes,f
18,male,public,phd,2.1,98.3,yes,>60 min,yes,mixed,e
16,male,private,phd,7.0,79.0,yes,>60 min,no,coaching,b
19,male,private,no formal,6.9,78.3,yes,>60 min,yes,online videos,b
14,other,public,post graduate,1.3,51.7,yes,<15 min,no,notes,f
18,female,private,no formal,0.6,95.9,yes,<15 min,no,coaching,e
18,female,private,diploma,1.3,73.5,yes,15-30 min,yes,notes,f
19,male,public,phd,5.3,100.0,no,15-30 min,yes,online videos,c
14,female,public,high school,2.3,58.4,yes,<15 min,yes,online videos,e
19,other,public,graduate,6.2,66.3,no,>60 min,no,textbook,c
16,other,private,post graduate,0.5,60.5,yes,>60 min,no,textbook,f
16,female,public,diploma,5.9,68.9,yes,>60 min,yes,textbook,c
16,male,private,no formal,7.1,98.8,yes,30-60 min,no,mixed,a
17,female,private,no formal,0.8,70.7,yes,15-30 min,no,group study,f
17,male,private,graduate,7.0,91.4,yes,15-30 min,yes,online videos,a
16,male,public,no formal,7.4,87.8,yes,>60 min,no,group study,b
14,other,private,no formal,4.5,64.9,yes,<15 min,no,coaching,d
19,other,public,phd,2.6,79.0,yes,15-30 min,yes,group study,e
15,other,public,graduate,4.7,92.6,yes,<15 min,no,coaching,c
14,female,public,diploma,2.8,80.6,yes,15-30 min,yes,online videos,e
17,other,private,no formal,7.5,63.2,yes,>60 min,yes,textbook,b
16,female,public,post graduate,4.6,93.2,yes,30-60 min,no,notes,d
17,male,public,graduate,6.5,77.8,yes,<15 min,no,textbook,c
19,male,private,high school,5.1,99.0,yes,15-30 min,yes,mixed,c
14,male,private,post graduate,2.7,82.8,no,<15 min,yes,coaching,e
15,other,private,high school,4.3,72.4,no,30-60 min,yes,group study,d
17,male,public,graduate,7.1,71.8,yes,15-30 min,no,online videos,b
18,other,public,graduate,3.4,94.0,yes,15-30 min,no,online videos,d
17,other,private,high school,3.1,99.0,yes,30-60 min,no,notes,c
16,female,public,phd,7.7,70.5,yes,30-60 min,no,group study,c
17,other,private,post graduate,3.0,58.2,yes,30-60 min,no,notes,f
19,male,public,high school,6.9,52.0,no,>60 min,yes,online videos,c
16,female,private,no formal,1.8,66.1,yes,<15 min,no,coaching,e
19,male,private,high school,6.4,67.1,yes,>60 min,yes,mixed,c
18,male,private,diploma,5.1,71.3,yes,<15 min,yes,textbook,d
15,male,public,graduate,1.4,57.3,yes,<15 min,no,coaching,f
15,other,private,diploma,1.0,74.6,yes,<15 min,yes,mixed,f
18,other,public,no formal,2.7,97.2,yes,30-60 min,yes,online videos,d
15,other,private,post graduate,5.4,61.6,yes,<15 min,yes,textbook,d
16,other,private,diploma,3.2,84.2,no,>60 min,no,coaching,e
15,other,private,diploma,2.5,51.9,yes,30-60 min,yes,notes,e
17,other,public,graduate,4.9,82.2,yes,30-60 min,no,online videos,c
15,male,public,phd,7.6,96.9,yes,15-30 min,no,textbook,b
17,other,private,no formal,1.4,64.1,yes,<15 min,no,group study,f
19,other,public,phd,5.3,90.8,no,15-30 min,no,online videos,c
18,male,public,graduate,7.3,54.1,no,30-60 min,yes,group study,b
19,male,public,graduate,4.6,67.9,yes,<15 min,yes,coaching,d
14,other,public,no formal,7.7,50.3,yes,>60 min,no,online videos,c
16,other,public,post graduate,5.0,67.8,yes,15-30 min,yes,group study,d
15,male,private,post graduate,5.5,65.5,yes,<15 min,no,coaching,d
19,male,private,graduate,6.4,84.6,yes,15-30 min,no,coaching,c
18,female,public,post graduate,2.0,64.7,yes,>60 min,yes,notes,e
15,male,public,phd,4.7,91.2,yes,15-30 min,yes,textbook,d
17,other,public,phd,5.1,64.6,yes,15-30 min,no,online videos,d
17,female,private,high school,1.4,61.2,yes,30-60 min,no,notes,e
16,male,private,post graduate,3.9,74.7,yes,>60 min,no,notes,d
16,other,private,no formal,6.3,82.8,yes,<15 min,yes,group study,b
14,other,public,graduate,0.8,94.4,yes,15-30 min,yes,textbook,e
16,other,private,no formal,3.6,90.7,yes,>60 min,yes,online videos,d
16,other,private,high school,1.6,76.2,yes,<15 min,no,group study,e
18,male,private,post graduate,1.8,98.9,yes,<15 min,yes,mixed,e
19,other,public,diploma,4.3,64.8,yes,30-60 min,yes,online videos,d
18,other,public,phd,0.7,100.0,no,15-30 min,yes,mixed,e
14,other,private,no formal,3.7,69.3,yes,30-60 min,no,online videos,e
19,male,private,phd,0.7,63.1,yes,15-30 min,yes,textbook,f
16,female,private,post graduate,7.4,69.1,yes,>60 min,no,online videos,b
16,other,private,diploma,7.1,79.3,yes,15-30 min,yes,online videos,b
19,male,public,no formal,2.1,73.7,yes,15-30 min,yes,textbook,f
19,female,private,no formal,1.0,52.5,yes,15-30 min,yes,textbook,f
14,other,private,diploma,2.4,67.8,yes,<15 min,yes,notes,e
16,other,public,graduate,0.7,74.6,yes,<15 min,no,mixed,f
18,female,private,graduate,6.0,83.2,yes,<15 min,no,coaching,c
17,other,public,high school,4.8,97.7,yes,>60 min,no,online videos,c
15,other,public,graduate,4.6,97.8,no,15-30 min,yes,textbook,c
17,other,public,graduate,6.9,75.7,yes,>60 min,yes,textbook,b
19,male,public,diploma,6.6,78.5,no,<15 min,yes,textbook,b
15,male,private,high school,3.6,84.9,no,>60 min,yes,online videos,c
18,male,private,diploma,5.1,91.8,yes,30-60 min,no,group study,c
18,female,private,post graduate,3.8,87.3,yes,15-30 min,yes,notes,d
19,female,private,graduate,5.2,86.0,yes,30-60 min,no,notes,c
15,male,public,no formal,1.6,72.4,yes,>60 min,yes,notes,e
15,other,private,phd,2.8,93.4,yes,<15 min,no,textbook,d
17,male,private,high school,2.4,83.1,yes,15-30 min,no,online videos,d
17,other,private,post graduate,1.8,58.0,yes,>60 min,yes,online videos,f
16,female,private,no formal,3.6,79.9,yes,<15 min,yes,coaching,d
18,other,private,high school,5.9,65.5,yes,30-60 min,yes,online videos,c
18,male,private,graduate,3.5,60.2,yes,30-60 min,no,online videos,e
15,male,private,phd,7.9,82.4,yes,30-60 min,yes,textbook,b
18,other,private,graduate,2.8,82.1,yes,15-30 min,no,textbook,e
15,female,private,no formal,7.6,97.7,yes,30-60 min,no,coaching,a
16,female,public,phd,2.0,98.8,yes,>60 min,no,mixed,d
14,male,private,high school,2.9,70.4,yes,30-60 min,no,textbook,e
16,other,private,diploma,1.7,58.9,yes,>60 min,yes,notes,e
19,male,private,no formal,2.3,57.0,yes,<15 min,yes,online videos,e
16,other,private,post graduate,1.7,98.7,yes,<15 min,no,group study,e
18,female,public,diploma,5.2,69.8,no,30-60 min,no,mixed,c
14,male,private,high school,2.0,67.1,yes,>60 min,yes,online videos,e
17,female,private,graduate,1.1,81.1,yes,15-30 min,no,textbook,e
16,female,private,high school,2.5,52.9,yes,30-60 min,yes,textbook,e
18,female,public,graduate,5.6,82.3,yes,>60 min,yes,group study,c
19,other,public,graduate,3.7,93.8,yes,30-60 min,no,group study,c
17,female,private,post graduate,1.7,86.2,no,30-60 min,yes,group study,e
14,female,private,post graduate,1.0,70.9,yes,<15 min,no,textbook,e
16,female,private,graduate,6.0,55.8,yes,30-60 min,yes,online videos,c
14,male,public,no formal,5.8,62.1,no,<15 min,no,online videos,d
16,other,private,high school,4.0,63.3,yes,30-60 min,no,notes,e
14,male,private,graduate,4.5,69.2,yes,>60 min,no,notes,c
17,male,public,graduate,2.3,56.7,yes,15-30 min,yes,notes,e
15,male,private,graduate,4.1,78.8,no,>60 min,no,notes,d
15,female,private,post graduate,6.0,68.3,yes,30-60 min,yes,textbook,c
14,female,public,phd,6.3,74.8,yes,30-60 min,no,group study,c
19,other,public,graduate,3.1,64.3,yes,>60 min,no,online videos,e
19,other,private,no formal,5.6,72.7,yes,30-60 min,yes,online videos,c
18,other,private,diploma,4.1,85.6,yes,15-30 min,no,coaching,d
14,male,public,high school,6.0,54.4,yes,<15 min,no,notes,c
16,other,private,graduate,5.7,75.5,no,15-30 min,no,notes,c
19,male,public,graduate,6.1,80.9,yes,30-60 min,yes,textbook,c
17,male,public,graduate,1.7,83.4,no,>60 min,yes,coaching,e
14,female,private,graduate,2.9,96.1,yes,>60 min,no,group study,d
